index,polynomial,operation,operand 1,operand 2,cost,order
0,x,,,,0,1
1,1,,,,0,0
2,2,,,,0,0
3,3,,,,0,0
4,4,,,,0,0
5,5,,,,0,0
6,6,,,,0,0
7,7,,,,0,0
8,8,,,,0,0
9,9,,,,0,0
10,10,,,,0,0
11,2x,ADD,0,0,1,1
12,x+1,ADD,0,1,1,1
13,x+2,ADD,0,2,1,1
14,x+3,ADD,0,3,1,1
15,x+4,ADD,0,4,1,1
16,x+5,ADD,0,5,1,1
17,x+6,ADD,0,6,1,1
18,x+7,ADD,0,7,1,1
19,x+8,ADD,0,8,1,1
20,x+9,ADD,0,9,1,1
21,x+10,ADD,0,10,1,1
22,3x,MULT,0,3,1,1
23,4x,MULT,0,4,1,1
24,5x,MULT,0,5,1,1
25,6x,MULT,0,6,1,1
26,7x,MULT,0,7,1,1
27,8x,MULT,0,8,1,1
28,9x,MULT,0,9,1,1
29,10x,MULT,0,10,1,1
30,2x+1,ADD,11,1,2,1
31,2x+2,ADD,11,2,2,1
32,2x+3,ADD,11,3,2,1
33,2x+4,ADD,11,4,2,1
34,2x+5,ADD,11,5,2,1
35,2x+6,ADD,11,6,2,1
36,2x+7,ADD,11,7,2,1
37,2x+8,ADD,11,8,2,1
38,2x+9,ADD,11,9,2,1
39,2x+10,ADD,11,10,2,1
40,3x+1,ADD,22,1,2,1
41,3x+2,ADD,22,2,2,1
42,3x+3,MULT,12,3,2,1
43,3x+4,ADD,22,4,2,1
44,3x+5,ADD,22,5,2,1
45,3x+6,MULT,13,3,2,1
46,3x+7,ADD,22,7,2,1
47,3x+8,ADD,22,8,2,1
48,3x+9,MULT,14,3,2,1
49,3x+10,ADD,22,10,2,1
50,11x,ADD,29,0,2,1
51,12x,MULT,11,6,2,1
52,14x,MULT,11,7,2,1
53,16x,MULT,11,8,2,1
54,18x,MULT,11,9,2,1
55,20x,MULT,11,10,2,1
56,4x+1,ADD,23,1,2,1
57,5x+1,ADD,24,1,2,1
58,6x+1,ADD,25,1,2,1
59,7x+1,ADD,26,1,2,1
60,8x+1,ADD,27,1,2,1
61,9x+1,ADD,28,1,2,1
62,10x+1,ADD,29,1,2,1
63,11x+1,ADD,12,29,3,1
64,4x+4,MULT,12,4,2,1
65,5x+5,MULT,12,5,2,1
66,6x+6,MULT,12,6,2,1
67,7x+7,MULT,12,7,2,1
68,8x+8,MULT,12,8,2,1
69,9x+9,MULT,12,9,2,1
70,10x+10,MULT,12,10,2,1
71,4x+2,ADD,23,2,2,1
72,5x+2,ADD,24,2,2,1
73,6x+2,ADD,25,2,2,1
74,7x+2,ADD,26,2,2,1
75,8x+2,ADD,27,2,2,1
76,9x+2,ADD,28,2,2,1
77,10x+2,ADD,29,2,2,1
78,11x+2,ADD,13,29,3,1
79,4x+8,MULT,13,4,2,1
80,5x+10,MULT,13,5,2,1
81,4x+3,ADD,23,3,2,1
82,5x+3,ADD,24,3,2,1
83,6x+3,ADD,25,3,2,1
84,7x+3,ADD,26,3,2,1
85,8x+3,ADD,27,3,2,1
