index,polynomial,operation,operand 1,operand 2,cost,order
0,x,,,,0,1
1,1,,,,0,0
2,2,,,,0,0
3,3,,,,0,0
4,2x,ADD,0,0,1,1
5,x+1,ADD,0,1,1,1
6,x+2,ADD,0,2,1,1
7,x+3,ADD,0,3,1,1
8,3x,MULT,0,3,1,1
9,2x+1,ADD,4,1,2,1
10,2x+2,ADD,4,2,2,1
11,2x+3,ADD,4,3,2,1
12,3x+1,ADD,8,1,2,1
13,3x+2,ADD,8,2,2,1
14,3x+3,MULT,5,3,2,1
15,x^2,MULT,0,0,1,2
16,2x^2,MULT,0,4,2,2
17,x^2+x,MULT,0,5,2,2
18,x^2+2x,MULT,0,6,2,2
19,x^2+3x,MULT,0,7,2,2
20,3x^2,MULT,0,8,2,2
21,2x^2+x,MULT,0,9,3,2
22,2x^2+2x,MULT,0,10,3,2
23,2x^2+3x,MULT,0,11,3,2
24,3x^2+x,MULT,0,12,3,2
25,3x^2+2x,MULT,0,13,3,2
26,3x^2+3x,MULT,0,14,3,2
27,x^2+2x+1,MULT,5,5,3,2
28,x^2+3x+2,MULT,5,6,3,2
29,2x^2+3x+1,MULT,5,9,4,2
30,x^2+1,ADD,15,1,2,2
31,x^2+2,ADD,15,2,2,2
32,x^2+3,ADD,15,3,2,2
33,x^2+x+1,ADD,15,5,3,2
34,x^2+x+2,ADD,15,6,3,2
35,x^2+x+3,ADD,15,7,3,2
36,x^2+2x+2,ADD,18,2,3,2
37,x^2+2x+3,ADD,18,3,3,2
38,x^2+3x+1,ADD,19,1,3,2
39,x^2+3x+3,ADD,19,3,3,2
40,2x^2+2x+1,ADD,22,1,4,2
41,2x^2+3x+2,ADD,23,2,4,2
42,3x^2+3x+1,ADD,26,1,4,2
43,2x^2+1,ADD,16,1,3,2
44,2x^2+2,ADD,16,2,3,2
45,2x^2+3,ADD,16,3,3,2
46,2x^2+x+1,ADD,16,5,4,2
47,2x^2+x+2,ADD,16,6,4,2
48,2x^2+x+3,ADD,16,7,4,2
49,2x^2+2x+2,ADD,22,2,4,2
50,2x^2+2x+3,ADD,22,3,4,2
51,2x^2+3x+3,ADD,23,3,4,2
52,3x^2+2x+1,ADD,25,1,4,2
53,3x^2+3x+2,ADD,26,2,4,2
54,3x^2+1,ADD,20,1,3,2
55,3x^2+2,ADD,20,2,3,2
56,3x^2+3,ADD,20,3,3,2
57,3x^2+x+1,ADD,20,5,4,2
58,3x^2+x+2,ADD,20,6,4,2
59,3x^2+x+3,ADD,20,7,4,2
60,3x^2+2x+2,ADD,25,2,4,2
61,3x^2+2x+3,ADD,25,3,4,2
62,3x^2+3x+3,ADD,26,3,4,2
63,x^3,MULT,0,15,2,3
64,2x^3,MULT,0,16,3,3
65,x^3+x^2,MULT,0,17,3,3
66,x^3+2x^2,MULT,0,18,3,3
67,x^3+3x^2,MULT,0,19,3,3
68,3x^3,MULT,0,20,3,3
69,2x^3+x^2,MULT,0,21,4,3
70,2x^3+2x^2,MULT,0,22,4,3
71,2x^3+3x^2,MULT,0,23,4,3
