index,polynomial,operation,operand 1,operand 2
0,x,,,
1,1,,,
2,2,,,
3,3,,,
4,2x,ADD,0,0
5,x+1,ADD,0,1
6,x+2,ADD,0,2
7,x+3,ADD,0,3
8,x^2,MULT,0,0
9,3x,MULT,0,3
10,2x+1,ADD,4,1
11,2x+2,ADD,4,2
12,2x+3,ADD,4,3
13,3x+1,ADD,9,1
14,3x+2,ADD,9,2
15,3x+3,MULT,5,3
16,x^2+2x,MULT,6,0
17,2x^2,MULT,4,0
18,2x^2+2x,MULT,4,5
19,x^2+x+1,ADD,5,8
20,x^2+x,MULT,5,0
21,x^2+2x+1,MULT,5,5
22,x^2+3x+2,MULT,5,6
23,3x^2+3x,MULT,5,9
24,x^2+x+2,ADD,6,8
25,x^2+x+3,ADD,7,8
26,x^2+3x,MULT,7,0
27,x^2+1,ADD,8,1
28,x^2+2,ADD,8,2
29,x^2+3,ADD,8,3
30,3x^2,MULT,8,3
31,2x^2+2x+1,ADD,18,1
32,x^2+3x+1,ADD,26,1
33,x^2+3x+3,ADD,26,3
34,x^2+2x+2,ADD,16,2
35,x^2+2x+3,ADD,16,3
36,3x^2+2x+1,ADD,48,1
37,2x^2+x,MULT,10,0
38,2x^2+3x+1,MULT,10,5
39,2x^2+2x+2,ADD,18,2
40,3x^2+2x+2,ADD,48,2
41,2x^2+2x+3,ADD,18,3
42,3x^2+2x+3,ADD,48,3
43,2x^2+3x,MULT,12,0
44,3x^2+3x+1,ADD,23,1
45,3x^2+x,MULT,13,0
46,2x^2+3x+2,ADD,43,2
47,3x^2+3x+2,ADD,23,2
48,3x^2+2x,MULT,14,0
49,2x^2+3x+3,ADD,43,3
50,3x^2+3x+3,MULT,19,3
51,2x^2+1,ADD,17,1
52,2x^2+2,ADD,17,2
53,2x^2+3,ADD,17,3
54,2x^2+x+1,ADD,17,5
55,2x^2+x+2,ADD,17,6
56,2x^2+x+3,ADD,17,7
57,3x^2+x+1,ADD,30,5
58,3x^2+x+2,ADD,30,6
59,3x^2+x+3,ADD,30,7
60,3x^2+1,ADD,30,1
61,3x^2+2,ADD,30,2
62,3x^2+3,MULT,27,3
