#,tests=100,N=5,scale=1,coefs=25
horner,greedy,random,anneal,basin
52,58,55,48,52
65,64,59,55,55
43,44,45,43,44
46,50,50,46,44
56,63,57,55,55
40,46,45,40,42
62,63,59,56,58
55,59,53,46,56
50,50,50,48,51
60,55,53,50,50
69,65,63,61,66
49,54,50,50,50
56,55,55,51,52
41,40,42,38,40
46,48,44,43,45
56,55,55,53,54
53,56,53,50,51
53,53,52,48,51
47,47,46,43,47
65,72,64,56,57
51,50,50,48,50
56,62,59,56,53
60,58,56,51,57
50,55,52,51,56
43,44,46,39,45
39,46,42,42,40
50,54,50,47,48
47,47,45,48,42
54,57,51,49,49
60,65,61,55,58
62,70,63,59,59
52,53,49,44,41
52,51,53,48,49
43,46,43,42,45
47,52,48,43,47
56,54,51,46,48
56,62,56,49,50
57,58,53,52,56
50,58,51,47,51
50,55,49,48,51
50,57,51,50,51
59,60,58,53,53
43,50,42,41,48
51,50,49,47,51
56,56,50,48,50
47,55,51,48,49
66,61,63,58,60
55,51,50,45,46
37,42,37,34,36
46,48,46,44,46
45,47,45,41,41
45,44,47,47,45
53,62,53,52,53
52,49,47,44,48
53,51,52,46,46
50,50,49,48,50
48,52,48,48,54
58,66,58,52,55
54,53,52,48,51
42,47,43,41,45
52,55,52,47,50
40,40,42,38,47
62,68,60,53,56
59,65,58,55,57
55,59,58,50,54
53,51,52,50,50
54,56,52,53,50
52,62,53,47,49
63,66,61,53,56
53,55,50,48,49
55,56,50,50,49
38,45,41,41,37
53,52,53,47,47
46,48,47,43,44
50,55,49,45,44
45,54,50,46,50
49,54,47,50,45
64,66,59,59,58
53,67,54,49,51
61,61,59,53,55
56,57,53,47,51
54,58,53,50,49
49,56,52,46,55
48,50,49,46,45
58,54,56,50,50
43,42,40,43,41
53,61,55,51,52
45,54,48,44,44
51,48,48,43,44
56,56,54,54,56
66,65,65,59,61
40,44,41,38,40
48,50,47,46,49
54,57,52,50,53
55,56,52,50,50
47,51,49,46,46
56,53,56,51,57
53,55,53,52,50
54,54,55,52,54
57,58,58,52,56
