# N=5, scale=2, coefs=20, n_rands=0
multivar horner,Greedy DivSearch,Random DivSearch,Annealling DivSearch,Basin-Hopping DivSearch
111,91,81,71,73
94,80,74,72,72
108,81,84,74,78
102,79,79,68,75
99,69,72,68,69
118,80,79,76,79
106,75,73,71,73
105,67,71,67,63
101,70,71,68,70
100,66,72,66,74
95,72,67,62,62
107,78,74,78,74
92,73,72,69,72
116,74,76,72,73
105,81,82,80,78
119,85,89,85,83
109,85,83,78,79
106,78,80,76,74
106,80,77,74,73
110,70,74,69,74
115,71,74,70,75
101,68,68,62,66
103,82,83,74,76
110,72,80,72,79
99,79,73,72,68
108,77,77,74,79
122,85,86,78,85
106,83,78,75,75
103,80,80,72,78
112,87,90,82,85
105,78,79,71,74
92,63,63,59,62
103,69,73,66,70
103,86,76,69,69
96,68,71,65,69
102,71,72,69,71
95,73,69,60,64
102,73,73,68,67
102,81,80,68,77
109,74,74,70,76
106,87,82,67,81
97,64,69,63,68
97,66,68,62,64
107,77,81,73,76
98,71,73,67,70
108,76,84,76,75
93,66,67,64,65
110,82,81,76,77
99,81,71,68,74
114,87,80,80,81
100,78,79,71,74
104,74,75,72,73
103,73,76,70,67
110,78,76,74,74
118,82,89,82,76
96,64,63,60,64
95,71,71,67,67
102,70,71,68,75
102,84,82,72,72
86,73,71,63,70
109,72,74,67,74
101,76,76,75,74
98,73,73,68,66
109,80,81,74,78
102,74,73,72,68
106,92,88,79,82
103,87,76,70,73
104,74,78,72,75
106,74,78,72,75
98,72,73,66,68
108,81,80,74,78
110,72,75,72,77
113,85,85,84,79
113,80,86,79,77
98,72,75,69,75
107,78,78,71,74
105,76,83,74,74
110,80,82,78,77
111,81,83,76,76
103,84,82,74,81
108,75,79,75,77
101,67,75,67,73
106,67,72,67,67
112,79,83,78,78
94,64,67,61,65
98,77,77,71,71
109,78,81,75,71
104,73,77,72,76
94,76,70,66,66
108,83,80,78,76
110,84,86,80,79
93,72,72,68,69
103,64,70,63,69
109,73,77,73,74
114,80,86,76,82
104,73,79,73,77
103,87,79,76,68
104,83,80,73,74
106,78,81,74,79
106,79,75,72,73
