index,polynomial,operation,operand 1,operand 2,cost,order
0,x,,,,0,1
1,1,,,,0,0
2,2,,,,0,0
3,3,,,,0,0
4,4,,,,0,0
5,5,,,,0,0
6,6,,,,0,0
7,2x,ADD,0,0,1,1
8,x+1,ADD,0,1,1,1
9,x+2,ADD,0,2,1,1
10,x+3,ADD,0,3,1,1
11,x+4,ADD,0,4,1,1
12,x+5,ADD,0,5,1,1
13,x+6,ADD,0,6,1,1
14,3x,MULT,0,3,1,1
15,2x+1,ADD,7,1,2,1
16,2x+2,ADD,7,2,2,1
17,2x+3,ADD,7,3,2,1
18,2x+4,ADD,7,4,2,1
19,2x+5,ADD,7,5,2,1
20,2x+6,ADD,7,6,2,1
21,3x+3,MULT,8,3,2,1
22,3x+6,MULT,9,3,2,1
23,3x+1,ADD,14,1,2,1
24,3x+2,ADD,14,2,2,1
25,3x+4,ADD,14,4,2,1
26,3x+5,ADD,14,5,2,1
27,x^2,MULT,0,0,1,2
28,2x^2,MULT,0,7,2,2
29,x^2+x,MULT,0,8,2,2
30,x^2+2x,MULT,0,9,2,2
31,x^2+3x,MULT,0,10,2,2
32,3x^2,MULT,0,14,2,2
33,2x^2+x,MULT,0,15,3,2
34,2x^2+2x,MULT,0,16,3,2
35,2x^2+3x,MULT,0,17,3,2
36,3x^2+3x,MULT,0,21,3,2
37,3x^2+x,MULT,0,23,3,2
38,3x^2+2x,MULT,0,24,3,2
39,x^2+2x+1,MULT,8,8,3,2
40,x^2+3x+2,MULT,8,9,3,2
41,2x^2+3x+1,MULT,8,15,4,2
42,3x^2+1,ADD,32,1,3,2
43,3x^2+2,ADD,32,2,3,2
44,3x^2+3,ADD,32,3,3,2
45,3x^2+4,ADD,32,4,3,2
46,3x^2+5,ADD,32,5,3,2
47,3x^2+6,ADD,32,6,3,2
48,3x^2+x+1,ADD,32,8,4,2
49,3x^2+x+2,ADD,32,9,4,2
50,3x^2+x+3,ADD,32,10,4,2
51,3x^2+x+4,ADD,32,11,4,2
52,3x^2+x+5,ADD,32,12,4,2
53,3x^2+x+6,ADD,32,13,4,2
54,2x^2+x+1,ADD,33,1,4,2
55,2x^2+x+2,ADD,33,2,4,2
56,2x^2+x+3,ADD,33,3,4,2
57,2x^2+x+4,ADD,33,4,4,2
58,2x^2+x+5,ADD,33,5,4,2
59,2x^2+x+6,ADD,33,6,4,2
60,2x^2+2x+1,ADD,34,1,4,2
61,2x^2+2x+2,ADD,34,2,4,2
62,2x^2+2x+3,ADD,34,3,4,2
63,2x^2+2x+4,ADD,34,4,4,2
64,2x^2+2x+5,ADD,34,5,4,2
65,2x^2+2x+6,ADD,34,6,4,2
66,2x^2+3x+2,ADD,35,2,4,2
67,2x^2+3x+3,ADD,35,3,4,2
68,2x^2+3x+4,ADD,35,4,4,2
69,2x^2+3x+5,ADD,35,5,4,2
70,2x^2+3x+6,ADD,35,6,4,2
71,3x^2+3x+1,ADD,36,1,4,2
72,3x^2+3x+2,ADD,36,2,4,2
73,3x^2+3x+3,ADD,36,3,4,2
