index,polynomial,operation,operand 1,operand 2,cost,order,depth
0,x,,,,0,1,0
1,1,,,,0,0,0
2,2,,,,0,0,0
3,3,,,,0,0,0
4,4,,,,0,0,0
5,5,,,,0,0,0
6,6,,,,0,0,0
7,7,,,,0,0,0
8,8,,,,0,0,0
9,9,,,,0,0,0
10,10,,,,0,0,0
11,11,,,,0,0,0
12,2x,ADD,0,0,1,1,1
13,x+1,ADD,0,1,1,1,1
14,x+2,ADD,0,2,1,1,1
15,x+3,ADD,0,3,1,1,1
16,x+4,ADD,0,4,1,1,1
17,x+5,ADD,0,5,1,1,1
18,x+6,ADD,0,6,1,1,1
19,x+7,ADD,0,7,1,1,1
20,x+8,ADD,0,8,1,1,1
21,x+9,ADD,0,9,1,1,1
22,x+10,ADD,0,10,1,1,1
23,x+11,ADD,0,11,1,1,1
24,3x,MULT,0,3,1,1,1
25,4x,MULT,0,4,1,1,1
26,5x,MULT,0,5,1,1,1
27,6x,MULT,0,6,1,1,1
28,7x,MULT,0,7,1,1,1
29,8x,MULT,0,8,1,1,1
30,9x,MULT,0,9,1,1,1
31,10x,MULT,0,10,1,1,1
32,11x,MULT,0,11,1,1,1
33,2x+1,ADD,12,1,2,1,2
34,2x+2,ADD,12,2,2,1,2
35,2x+3,ADD,12,3,2,1,2
36,2x+4,ADD,12,4,2,1,2
37,2x+5,ADD,12,5,2,1,2
38,2x+6,ADD,12,6,2,1,2
39,2x+7,ADD,12,7,2,1,2
40,2x+8,ADD,12,8,2,1,2
41,2x+9,ADD,12,9,2,1,2
42,2x+10,ADD,12,10,2,1,2
43,2x+11,ADD,12,11,2,1,2
44,3x+3,MULT,13,3,2,1,2
45,4x+4,MULT,13,4,2,1,2
46,5x+5,MULT,13,5,2,1,2
47,6x+6,MULT,13,6,2,1,2
48,7x+7,MULT,13,7,2,1,2
49,8x+8,MULT,13,8,2,1,2
50,9x+9,MULT,13,9,2,1,2
51,10x+10,MULT,13,10,2,1,2
52,11x+11,MULT,13,11,2,1,2
53,3x+6,MULT,14,3,2,1,2
54,4x+8,MULT,14,4,2,1,2
55,5x+10,MULT,14,5,2,1,2
56,3x+9,MULT,15,3,2,1,2
57,3x+1,ADD,24,1,2,1,2
58,3x+2,ADD,24,2,2,1,2
59,3x+4,ADD,24,4,2,1,2
60,3x+5,ADD,24,5,2,1,2
61,3x+7,ADD,24,7,2,1,2
62,3x+8,ADD,24,8,2,1,2
63,3x+10,ADD,24,10,2,1,2
64,3x+11,ADD,24,11,2,1,2
65,4x+1,ADD,25,1,2,1,2
66,4x+2,ADD,25,2,2,1,2
67,4x+3,ADD,25,3,2,1,2
68,4x+5,ADD,25,5,2,1,2
69,4x+6,ADD,25,6,2,1,2
70,4x+7,ADD,25,7,2,1,2
71,4x+9,ADD,25,9,2,1,2
72,4x+10,ADD,25,10,2,1,2
73,4x+11,ADD,25,11,2,1,2
74,5x+1,ADD,26,1,2,1,2
75,5x+2,ADD,26,2,2,1,2
76,5x+3,ADD,26,3,2,1,2
77,5x+4,ADD,26,4,2,1,2
78,5x+6,ADD,26,6,2,1,2
79,5x+7,ADD,26,7,2,1,2
80,5x+8,ADD,26,8,2,1,2
81,5x+9,ADD,26,9,2,1,2
82,5x+11,ADD,26,11,2,1,2
83,6x+1,ADD,27,1,2,1,2
84,6x+2,ADD,27,2,2,1,2
85,6x+3,ADD,27,3,2,1,2
86,6x+4,ADD,27,4,2,1,2
87,6x+5,ADD,27,5,2,1,2
88,6x+7,ADD,27,7,2,1,2
89,6x+8,ADD,27,8,2,1,2
90,6x+9,ADD,27,9,2,1,2
91,6x+10,ADD,27,10,2,1,2
92,6x+11,ADD,27,11,2,1,2
93,7x+1,ADD,28,1,2,1,2
94,7x+2,ADD,28,2,2,1,2
95,7x+3,ADD,28,3,2,1,2
96,7x+4,ADD,28,4,2,1,2
97,7x+5,ADD,28,5,2,1,2
98,7x+6,ADD,28,6,2,1,2
99,7x+8,ADD,28,8,2,1,2
100,7x+9,ADD,28,9,2,1,2
101,7x+10,ADD,28,10,2,1,2
102,7x+11,ADD,28,11,2,1,2
103,8x+1,ADD,29,1,2,1,2
104,8x+2,ADD,29,2,2,1,2
105,8x+3,ADD,29,3,2,1,2
106,8x+4,ADD,29,4,2,1,2
107,8x+5,ADD,29,5,2,1,2
