#,tests=100,N=5,scale=2,coefs=50
horner,greedy,random,anneal,basin
182,154,157,144,137
174,153,154,137,141
184,157,161,144,145
183,146,160,136,146
188,146,149,135,134
179,149,158,138,163
178,149,149,132,134
199,169,170,154,164
158,135,143,128,121
168,145,150,135,140
152,135,150,135,141
168,163,156,131,143
169,143,148,130,131
189,151,164,144,152
184,157,162,144,141
172,143,152,139,138
167,144,148,129,142
171,158,158,139,152
186,157,156,141,145
167,138,147,128,135
168,153,153,139,141
174,153,161,145,143
176,145,150,139,139
163,136,141,123,133
148,135,141,139,129
180,152,148,137,148
187,158,166,136,160
226,170,172,146,147
157,141,142,143,144
213,156,161,150,141
177,152,161,137,147
169,146,150,127,126
219,168,176,165,155
184,161,153,146,151
172,134,148,128,137
187,156,161,139,141
173,155,160,148,154
166,132,142,133,133
168,147,146,129,143
169,159,162,140,151
184,145,152,140,141
180,141,150,140,150
153,136,144,131,133
190,154,160,148,147
163,140,148,131,146
180,155,151,138,141
174,155,158,145,138
156,150,149,136,139
173,152,147,139,141
163,146,145,138,133
217,154,166,146,155
164,143,145,143,135
166,155,145,137,136
175,152,155,147,143
144,133,142,126,133
185,150,158,132,150
154,150,156,143,143
164,149,155,137,138
184,154,156,140,152
213,146,168,141,148
183,155,159,138,155
169,135,149,137,133
191,167,172,155,160
213,165,169,155,162
204,156,164,150,158
198,145,154,143,143
163,144,144,129,132
160,137,146,133,137
167,145,150,135,137
171,150,147,132,133
176,145,152,136,144
188,154,154,140,149
199,165,171,157,162
198,196,166,154,162
161,149,155,142,144
192,164,168,151,160
175,152,151,143,134
181,153,162,143,157
179,156,162,149,143
166,143,146,139,137
161,139,147,134,135
166,145,147,129,142
164,135,148,131,137
153,147,146,130,140
152,146,138,123,125
175,148,153,135,144
172,140,137,126,132
203,158,166,151,150
180,145,149,137,133
178,150,154,138,136
151,139,140,123,120
155,127,137,124,127
169,146,153,141,135
176,148,153,146,140
178,151,154,142,146
156,140,148,136,135
185,173,162,150,156
170,144,153,136,145
164,150,153,136,141
183,151,162,140,154
